Code;Qualification;0H;1H;2h;3H;4H;5H;6H;7H;8H;9H;10H;11H;12H;13H;14H;15H;16H;17H;18H;19H;20H;21H;22H;23H;24H;25H;26H;27H;28H;29H;30H;31H;32H;33H;34H
E001;Q;;;;C002;C001;C001;;;;;;;;C019;C019;C019;;;;;C002;C002;C003;C003;;C021;C021;C021;C021;;;;;;
E002;NQ;;;;C002;C002;C002;C003;;C003;C009;C009;;;;;;;C023;C023;C023;;;;;;;;;;;C022;C022;C022;C022;
E003;NQ;;;;;;C002;C001;C001;C001;C001;;;;;;C027;C027;C027;;;;;C006;C006;C006;;;;;;;;C013;C013;C013
E004;NQ;;;;;;C002;C002;C002;C003;C008;C011;;C011;C012;C012;;;;;;;;;;;;;;;;C022;C022;C022;C022;
E005;Q;;;;;;;;;;;;;;;;;;;C023;C023;C023;;;C013;C013;C013;;;;;;;C013;C013;C013
E006;NQ;C001;C001;C001;C002;;;C001;C001;C001;;C001;C001;C001;;;C027;C027;C027;;;C002;C002;C003;C003;;;;C030;C030;C030;;;;;
E007;Q;;;;C002;C002;C002;C003;;C003;C009;C009;;;;;;;;;;;;;;;;;;;;;;;;
E008;Q;;;C008;C008;C008;;C008;C008;C008;C008;;;C011;C012;C012;;;;;;;;;C013;C013;C013;;;;;;;;;
E009;Q;;;;;;;;;;;;;;;;;C021;;C023;C023;C023;;;;;C021;C021;C021;C021;;C022;C022;C022;C022;
E010;Q;;;;C030;C030;C030;C030;C030;;C018;C018;;;;;;;C024;C024;;;;C006;C006;C006;;;;;;;;;;
E011;Q;C015;C015;;;;;;C008;C008;C008;C011;;C011;C012;C012;;;;;;;;;;;;;;;;;;;;
E012;NQ;;C022;C022;C022;;;;;;;;;;;;C027;C027;C027;;;;;;;;;;;;;;;C013;C013;C013
E013;NQ;;;;;;;;;C012;C013;C013;C013;;C013;C001;C001;;;;;;;;C013;C013;C013;;C030;C030;C030;;;;;
E014;NQ;C001;C001;C001;;C001;C001;C001;;;;;;;;;;;;;;C002;C002;C003;C003;;;;;;;;;;;
E015;NQ;;;;C002;C002;C002;C003;;C003;C009;C009;;;;;C027;C027;C027;;;;;;;;;;;;;;;;;
E016;Q;;;C002;C002;C002;;;;;;;;;;;;;;;;;;;;;C021;C021;C021;C021;;;C008;C008;C008;C008
E017;Q;;;;;;;;;;;;;;C019;C019;C019;;C024;C024;;;;;;;;;C030;C030;C030;;;;;
E018;Q;;C003;C003;C003;;C003;C012;C012;C012;;;;;C019;C019;C019;;;;;;;C006;C006;C006;;;;;;;;;;
E019;Q;;;C007;C007;C007;C007;;C009;C009;C009;;;;;;;;C024;C024;;;;;;;;;;;;;;;;
